code,title,year,ratings_avg,nations,genres
tPeWZ5G,야마다 군과 Lv999의 사랑을 하다,2023,8.591458333333334,['일본'],"['애니메이션', '로맨스', '코미디']"
tPeWoAe,구소한야난 - 너의 온도,2023,7.581896551724138,['중국'],"['로맨스', '드라마', '시대극', 'TV드라마']"
tE3AbD1,레벨 1이지만 유니크 스킬로 최강입니다,2023,6.940568475452197,['일본'],"['애니메이션', '판타지', '모험']"
tPy8oM9,바람의 검심 -메이지 검객 낭만기-,2023,8.083783783783783,['일본'],"['애니메이션', '액션', '시대극']"
tRB64k7,하야부사 소방단,2023,7.622540250447227,['일본'],"['미스터리', '드라마', 'TV드라마']"
tRzLD0M,"실은 나, 최강이었다?",2023,7.411538461538462,['일본'],"['애니메이션', '판타지', '모험']"
tPj1AQg,블루밍,2022,8.096750369276219,['한국'],"['드라마', '로맨스', 'BL', 'TV드라마']"
mW42G2R,피기,2021,5.491682661548305,['스페인'],"['드라마', '스릴러', '공포']"
tRzLoLM,이상한 전생,2023,7.122065727699531,['일본'],"['애니메이션', '판타지', '모험']"
tRB64x7,왕에게 바치는 약지,2023,7.750663129973475,['일본'],"['로맨스', '코미디', '로맨틱 코미디', 'TV드라마']"
tP8az0d,침향여설,2022,8.369186046511627,['중국'],"['판타지', 'SF', '로맨스', 'TV드라마']"
tRwGvzL,마슐,2023,7.932098765432099,['일본'],"['애니메이션', '판타지', '코미디', '액션']"
tl9gLNb,트랙터는 사랑을 싣고,2023,8.232403718459496,['한국'],"['드라마', '코미디', '로맨스', 'BL', 'TV드라마']"
tlObd36,이세계 유유자적 농가,2023,8.123476848090982,['일본'],"['애니메이션', '판타지', '코미디']"
tPy8JQg,여덟 번째 감각,2023,8.30192878338279,['한국'],"['로맨스', 'BL']"
tPrzZmW,이세계에서 치트 스킬을 얻은 나는 현실 세계에서도 무쌍한다 ~레벨업이 인생을 바꿨다~,2023,7.107066381156317,['일본'],"['애니메이션', '판타지', '액션', '모험']"
tR72Z69,블리치 천년혈전 편,2022,8.620341614906833,['일본'],"['애니메이션', '액션', '모험', '판타지']"
mWvoNZO,무엇에 쓰는 물건인고,1993,5.530632911392405,['한국'],"['로맨스', '코미디']"
tE6Y23M,한여름의 신데렐라,2023,5.808035714285714,['일본'],"['로맨스', 'TV드라마']"
tPJZm2w,신입사원,2022,7.545499021526418,['한국'],"['로맨스', 'BL', '드라마', 'TV드라마']"
tE3ALJK,나의 신부 군,2023,7.3729128014842304,['일본'],"['로맨스', '코미디', '로맨틱 코미디', 'TV드라마']"
tEqZ4Dp,모노노가타리 제2장,2023,8.395209580838323,['일본'],"['애니메이션', '액션', '판타지']"
tlxkXQ5,풍덕빌라 304호의 사정,2022,8.018867924528301,['한국'],"['로맨스', 'BL', 'TV드라마']"
tPVd36L,알바 뛰는 마왕님!! Part 2,2023,7.610169491525424,['일본'],"['애니메이션', '판타지', '코미디']"
tlxkZan,라스트 맨 -전맹의 수사관-,2023,8.195624195624196,['일본'],"['드라마', '미스터리', 'TV드라마']"
tE6Y2kQ,절배수심당: 사랑의 맛,2023,6.896551724137931,['중국'],"['로맨스', '드라마', 'TV드라마']"
mdj29Gq,섹스 스캔들,2021,5.474137931034483,['폴란드'],"['드라마', '로맨스', '범죄', '스릴러']"
tPj1Bew,최강 음양사의 이세계 전생기,2023,7.720083246618106,['일본'],"['애니메이션', '판타지', '액션', '모험']"
tRwGb9D,밥만 잘 사주는 이상한 이사님,2022,7.711399711399712,['한국'],"['BL', '로맨스', 'TV드라마']"
tlLrdaW,어둠의 실력자가 되고 싶어서!,2022,8.020918070889017,['일본'],"['애니메이션', '판타지', '코미디']"
tEgMoOA,이 멋진 세계에 폭염을!,2023,7.5659824046920825,['일본'],"['애니메이션', '판타지', '코미디']"
